Berachot,Peah,Damai,Kilayim,Sheviit,Terumot,Maaserot,Maaser Sheni,Chalah,Orlah,Bikurim,Shabbat,Eruvin,Pesachim,Shekalim,Yoma,Sukkah,Beitzah,Rosh Hashanah,Taanit,Megilah,Moed Katan,Chagigah,Yevamot,Ketubot,Nedarim,Nazir,Sotah,Gittin,Kidushin,Bava Kama,Bava Metzia,Bava Batra,Sanhedrin,Makkot,Shevuot,Eduyot,Avodah Zara,Avot,Horayot,Zevachim,Menachot,Chulin,Bechorot,Erchin,Temurah,Keritot,Meilah,Tamid,Middot,Kinim,Keilim,Ohalot,Negaim,Parah,Taharot,Mikvaot,Nidah,Machshirin,Zavim,Tevul Yom,Yadayim,Uktzin
5,6,4,9,8,10,8,7,9,9,11,11,10,7,7,8,11,10,9,7,11,10,8,4,10,4,7,9,6,10,4,8,6,6,10,7,14,9,18,5,4,4,7,7,4,6,7,4,4,9,4,9,8,6,4,9,8,7,6,6,5,5,6
8,8,5,11,10,6,8,10,8,17,11,7,6,8,5,7,9,10,8,10,6,5,7,10,10,5,10,6,7,10,6,11,14,5,8,5,10,7,16,7,5,5,10,9,6,3,6,9,5,6,5,8,7,5,5,8,10,7,11,4,8,4,10
6,8,6,7,10,9,10,13,10,9,12,6,9,8,4,11,15,8,9,9,6,9,8,10,9,11,7,8,8,13,11,12,8,8,16,11,12,10,18,8,6,7,7,4,5,5,10,8,9,8,6,8,7,8,11,8,4,7,8,3,6,5,12
7,11,7,9,10,13,6,12,11,,5,2,11,9,9,6,10,7,9,8,10,,,13,12,8,7,5,9,14,9,12,9,5,,13,12,12,22,,6,5,7,10,4,4,3,6,3,7,,4,3,11,4,13,5,7,10,7,7,8,
5,8,11,8,9,9,8,15,,,,4,9,10,6,7,8,7,,,,,,6,9,6,7,5,9,,7,11,11,5,,5,7,12,23,,8,9,5,6,6,6,8,5,6,4,,11,7,5,9,9,6,9,11,12,,,
8,11,12,9,6,6,,,,,,10,10,6,6,8,,,,,,,,6,7,10,11,4,7,,6,8,8,6,,7,3,,11,,7,7,7,12,5,5,9,6,4,,,4,7,8,5,10,11,14,8,,,,
5,8,8,8,7,7,,,,,,4,11,13,7,5,,,,,,,,6,10,9,4,8,9,,7,11,4,11,,8,9,,,,6,6,6,7,5,6,,,3,,,6,6,5,12,9,7,5,,,,,
8,9,,6,11,12,,,,,,7,11,8,8,9,,,,,,,,6,8,7,2,7,10,,7,9,8,7,,6,7,,,,12,7,6,10,7,,,,,,,11,6,10,11,9,5,4,,,,,
5,,,10,9,7,,,,,,7,4,11,,,,,,,,,,6,9,10,5,15,10,,12,13,10,6,,,,,,,7,9,8,8,8,,,,,,,8,16,3,9,9,7,11,,,,,
,,,,9,12,,,,,,6,15,9,,,,,,,,,,9,6,8,,,,,10,6,8,6,,,,,,,8,9,4,,,,,,,,,8,7,10,6,8,8,8,,,,,
,,,,,10,,,,,,6,,,,,,,,,,,,7,6,12,,,,,,,,6,,,,,,,8,9,2,,,,,,,,,9,9,12,9,,,,,,,,
,,,,,,,,,,,6,,,,,,,,,,,,6,4,,,,,,,,,,,,,,,,6,5,5,,,,,,,,,8,8,7,11,,,,,,,,
,,,,,,,,,,,7,,,,,,,,,,,,13,11,,,,,,,,,,,,,,,,8,11,,,,,,,,,,8,6,12,,,,,,,,,
,,,,,,,,,,,4,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,10,,,,,,,,,,,8,7,13,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,,,,,,,,,,
,,,,,,,,,,,8,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,,,,,,,,,,
,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,5,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,,,,,,,,,,
,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
